0.00	X
0.38	B
0.54	C
0.61	E
0.68	F
0.75	X
1.11	C
1.23	B
1.36	A
1.44	B
1.64	X
1.79	B
2.24	G
2.31	H
2.45	B
2.52	C
2.66	B
3.15	X
3.87	X
